profit_rank,crop,predicted_yield,modal_price,expected_revenue,cost_per_hectare,net_profit
1,Black pepper,57.995652086549946,80000.0,4639652.166923996,70000.0,4569652.166923996
2,Black pepper,57.995652086549946,68000.0,3943704.341885396,70000.0,3873704.341885396
3,Black pepper,57.995652086549946,67100.0,3891508.255007501,70000.0,3821508.255007501
4,Black pepper,57.995652086549946,66500.0,3856710.863755571,70000.0,3786710.863755571
5,Black pepper,57.995652086549946,66000.0,3827713.037712297,70000.0,3757713.037712297
6,Black pepper,44.80074741735,80000.0,3584059.793388,70000.0,3514059.793388
7,Black pepper,44.31594018364997,80000.0,3545275.214691997,70000.0,3475275.214691997
8,Black pepper,41.143879946900014,80000.0,3291510.395752001,70000.0,3221510.395752001
9,Black pepper,40.02799912789997,80000.0,3202239.9302319973,70000.0,3132239.9302319973
10,Black pepper,44.80074741735,68000.0,3046450.8243798004,70000.0,2976450.8243798004
11,Black pepper,44.31594018364997,68000.0,3013483.932488198,70000.0,2943483.932488198
12,Black pepper,44.80074741735,67100.0,3006130.151704185,70000.0,2936130.151704185
13,Black pepper,44.80074741735,66500.0,2979249.7032537754,70000.0,2909249.7032537754
14,Black pepper,44.31594018364997,67100.0,2973599.586322913,70000.0,2903599.586322913
15,Black pepper,44.80074741735,66000.0,2956849.3295451,70000.0,2886849.3295451
16,Black pepper,44.31594018364997,66500.0,2947010.0222127237,70000.0,2877010.0222127237
17,Black pepper,44.31594018364997,66000.0,2924852.052120898,70000.0,2854852.052120898
18,Black pepper,41.143879946900014,68000.0,2797783.8363892008,70000.0,2727783.8363892008
19,Black pepper,41.143879946900014,67100.0,2760754.344436991,70000.0,2690754.344436991
20,Black pepper,41.143879946900014,66500.0,2736068.016468851,70000.0,2666068.016468851
21,Black pepper,40.02799912789997,68000.0,2721903.940697198,70000.0,2651903.940697198
22,Black pepper,41.143879946900014,66000.0,2715496.076495401,70000.0,2645496.076495401
