latitude,longitude,elevation,utc_offset_seconds,state
15.922671,79.70699,98.0,0.0,Andhra Pradesh
28.224955,94.68856,565.0,0.0,Arunachal Pradesh
26.18629,92.96053,199.0,0.0,Assam
25.13181,85.339806,69.0,0.0,Bihar
21.265377,81.84318,277.0,0.0,Chhattisgarh
15.289983,74.142456,98.0,0.0,Goa
22.24956,71.21901,294.0,0.0,Gujarat
29.06854,76.05052,217.0,0.0,Haryana
31.107204,77.17339,2195.0,0.0,Himachal Pradesh
23.655535,85.25316,412.0,0.0,Jharkhand
15.289983,75.74508,649.0,0.0,Karnataka
10.86116,76.30089,63.0,0.0,Kerala
22.952547,78.63257,331.0,0.0,Madhya Pradesh
19.789103,75.7328,505.0,0.0,Maharashtra
24.639717,93.95075,772.0,0.0,Manipur
25.483303,91.3666,1556.0,0.0,Meghalaya
23.163443,92.92146,572.0,0.0,Mizoram
26.115992,94.5345,1283.0,0.0,Nagaland
20.984182,85.07099,118.0,0.0,Odisha
31.177504,75.33888,222.0,0.0,Punjab
27.029877,74.200005,342.0,0.0,Rajasthan
27.451668,88.48994,822.0,0.0,Sikkim
11.142355,78.650085,138.0,0.0,Tamil Nadu
17.961334,79.591835,259.0,0.0,Telangana
23.93673,92.00212,61.0,0.0,Tripura
26.81898,80.93023,117.0,0.0,Uttar Pradesh
30.052723,79.07818,2226.0,0.0,Uttarakhand
22.952547,87.83925,28.0,0.0,West Bengal
11.704745,92.73703,0.0,0.0,Andaman & Nicobar Islands
30.685411,76.73349,341.0,0.0,Chandigarh
28.576448,77.18678,214.0,19800.0,Delhi
33.778557,76.56717,5249.0,0.0,Jammu & Kashmir
34.13005,77.60951,3411.0,0.0,Ladakh
10.579965,72.61905,10.0,0.0,Lakshadweep
11.915642,79.8296,10.0,0.0,Puducherry
